,Original,BLUR5,BLUR10,BLUR15,BLUR20,BLUR25
sunglasses,2,0,0,0,2,0
sunlight,3,1,0,0,0,0
sunlike,0,0,0,0,0,1
sunlit,1,0,0,0,0,0
sunny,1,3,3,2,2,0
sunrise,0,1,1,0,0,0
sunset,0,1,2,0,0,1
support,1,0,0,0,0,0
supportive,0,1,0,0,0,0
surface,6,18,19,11,11,5
surfboard,6,2,0,0,0,0
surfboards,1,2,0,0,0,0
surfer,5,5,1,0,0,0
surfers,1,3,1,0,0,0
surfing,0,1,2,0,0,0
surprised,1,0,0,0,0,0
surrounded,21,6,12,14,20,18
surrounding,3,3,7,13,7,13
surroundings,5,5,6,8,7,1
swimwear,1,0,0,0,0,0
swing,0,0,1,1,0,0
swinging,1,0,0,0,0,0
swirling,0,0,0,1,1,0
symmetrical,0,0,1,0,0,2
system,1,0,0,0,0,0
table,7,6,4,1,0,0
tablecloth,5,0,2,0,0,0
tactile,1,0,0,1,0,0
tag,0,0,0,0,1,0
tail,6,1,0,0,0,0
taken,0,0,3,0,0,0
taking,1,0,0,1,0,0
talking,0,1,0,0,0,0
tall,7,3,2,2,1,0
taller,0,0,0,1,0,0
tape,1,0,0,0,0,0
tarmac,3,2,0,0,0,0
teal,0,0,0,0,3,3
teddy,4,2,0,0,0,0
television,3,1,0,0,0,0
tennis,13,9,6,2,0,0
terminal,2,0,0,0,0,0
terracotta,0,1,0,0,0,0
terrain,0,0,0,0,0,1
text,5,2,4,0,0,0
texture,0,2,5,5,4,13
textured,4,2,4,3,4,5
textures,1,1,1,1,1,1
them,8,8,10,3,2,3
theres,3,8,9,13,7,9
thick,3,1,1,0,0,0
though,0,0,0,0,0,3
through,10,7,2,0,1,0
throughout,0,0,0,0,1,1
throw,2,1,0,0,0,0
tie,8,9,3,1,0,0
tied,2,0,0,0,0,0
tiered,1,0,0,0,0,0
ties,2,0,0,0,0,0
tile,1,0,0,0,0,0
tiled,2,0,0,0,0,0
tilted,3,1,0,3,2,0
tint,0,0,0,0,1,0
tires,1,0,0,0,0,0
toasted,0,1,1,0,0,0
together,0,4,1,5,3,3
tomato,0,3,4,0,0,0
tomatoes,0,1,0,0,0,0
tone,1,2,9,5,9,17
tones,9,9,26,33,43,44
tool,0,0,0,0,1,1
top,6,13,17,21,29,41
topmost,0,1,0,0,0,0
topped,4,1,0,0,0,0
topping,2,0,0,0,0,0
toppings,1,0,0,0,0,0
torso,1,0,1,0,0,0
touch,7,3,1,1,0,1
tour,1,0,0,0,0,0
touring,1,0,0,0,0,0
towards,5,4,2,10,16,28
towels,1,0,0,0,0,0
tower,2,1,0,3,0,0
toy,1,2,2,2,1,0
toys,2,1,0,0,0,0
track,0,1,0,0,0,0
tracks,1,0,0,0,0,0
traditional,2,1,0,0,0,0
traffic,2,2,0,0,0,0
trail,2,2,0,0,0,0
trailing,1,0,0,0,0,0
train,5,2,0,0,0,0
trains,1,1,0,0,0,0
tranquil,1,0,1,0,0,1
tranquility,1,0,2,1,2,2
transition,0,0,2,1,7,4
transitioning,0,1,1,14,25,53
transitions,0,0,1,1,4,4
translucent,0,0,0,0,1,0
trash,0,0,1,0,0,0
treat,1,0,0,0,0,0
tree,2,9,1,4,3,1
trees,18,10,12,5,6,6
triangular,0,0,1,0,0,0
trick,3,4,0,0,0,0
trimmed,1,1,0,0,0,0
truck,0,1,0,0,0,0
trunk,1,2,0,0,0,0
tucked,1,0,0,0,0,0
tuft,1,0,0,0,0,0
tunnel,1,0,0,0,0,0
turkey,1,0,0,0,0,0
turn,0,1,0,0,0,0
turned,1,0,2,1,1,0
two,18,15,15,9,5,4
type,0,1,0,0,0,0
typical,1,2,0,0,1,1
umbrellas,4,4,2,0,0,0
umpire,2,0,0,0,0,0
under,15,3,3,3,1,0
underbelly,0,0,1,0,0,0
underneath,0,0,1,0,0,0
underside,1,1,0,0,0,0
uniform,1,1,0,2,2,3
uniformity,0,0,0,0,0,1
uniforms,1,0,0,0,0,0
unique,1,0,0,0,0,0
uniquely,0,0,1,2,0,1
unobstructed,0,1,0,0,0,0
up,2,2,0,0,0,0
upper,2,1,8,13,10,6
upright,0,1,1,1,0,2
upward,2,0,0,0,0,0
upwards,1,2,0,1,0,0
urban,13,10,3,1,2,1
use,1,0,0,0,0,0
utensils,2,1,0,0,0,0
utilitarian,1,0,0,0,0,0
van,1,1,0,0,0,0
vanity,2,0,0,0,0,0
vantage,1,0,0,0,0,0
variations,0,0,1,1,2,3
varied,0,0,1,0,1,0
variety,2,6,4,0,0,0
various,8,5,3,1,0,0
varying,0,0,1,0,1,0
vase,5,2,2,1,0,0
vases,1,0,0,0,0,0
vast,5,0,2,0,0,0
vastness,1,0,1,0,1,0
vegetable,2,0,1,1,0,1
vegetables,3,6,2,0,0,0
vegetation,1,0,0,0,0,1
vehicle,1,4,0,0,1,0
vehicles,1,3,1,0,0,0
venue,1,0,1,0,0,0
verdant,1,0,0,0,0,0
vertical,0,0,1,2,1,2
vessel,1,0,0,0,0,0
vibrancy,0,0,0,0,0,1
vibrant,30,23,25,28,27,26
video,1,1,0,0,0,0
view,10,10,13,11,7,4
viewed,0,0,0,0,1,0
viewer,0,2,0,0,1,1
vignette,0,0,0,1,1,1
vintage,2,0,0,0,0,0
vintagestyle,1,0,0,0,0,0
visible,22,33,24,15,5,3
visor,1,0,0,0,0,0
visual,1,0,4,3,4,6
visually,1,0,0,0,0,0
vivid,0,0,1,1,3,2
vividly,0,0,1,2,0,1
wading,0,0,0,1,0,0
wake,2,0,0,0,0,0
wakeboard,1,0,0,0,0,0
walking,1,6,3,5,1,0
walks,1,0,0,0,0,0
walkway,0,1,0,0,0,0
wall,14,13,7,2,1,0
wallmounted,2,1,0,0,0,0
wallpaper,0,0,1,0,0,0
walls,1,0,2,1,0,0
warm,6,14,24,28,38,46
warmly,2,1,1,1,0,0
warmth,0,0,1,1,1,2
warmtoned,2,0,1,2,3,2
watching,1,0,0,0,0,0
water,11,8,10,11,5,3
waterfront,0,0,1,0,0,0
waters,3,3,2,2,1,0
wave,7,7,3,0,1,0
waves,3,4,3,2,0,0
way,1,0,0,1,0,0
wearing,17,20,35,38,30,11
wears,4,1,0,0,0,0
weathered,2,0,0,0,0,0
web,0,1,0,0,0,0
webpage,2,2,0,0,0,0
wedding,1,0,0,0,0,0
welldefined,0,0,0,0,0,1
welllit,1,0,0,0,0,0
wellmaintained,3,1,0,0,0,0
wellsuited,1,0,0,0,0,0
wetsuit,4,1,0,0,0,0
what,2,20,26,23,13,5
wheel,0,0,2,0,0,0
wheels,2,1,0,0,0,0
where,0,3,0,3,3,0
which,4,7,12,7,12,9
while,13,12,8,4,1,4
white,59,48,43,25,18,19
whites,0,0,1,0,4,2
whitewalled,1,0,0,0,0,0
who,0,1,0,1,0,0
wide,1,0,0,0,0,0
wideangle,0,1,0,0,0,0
wild,0,1,0,0,0,0
wildflowers,0,1,0,0,0,0
window,2,4,7,3,2,0
windowlike,0,0,1,0,0,0
windows,0,4,0,0,0,0
windshield,2,1,0,0,0,0
wings,2,1,0,0,0,0
winter,2,1,0,0,0,0
wisps,0,0,1,0,0,0
wispy,1,0,0,0,0,0
within,2,2,1,2,2,3
without,0,0,0,4,3,5
woman,5,0,0,0,0,0
wood,2,0,0,0,0,0
wooden,12,10,7,3,2,0
word,1,0,0,0,0,0
work,0,1,0,0,0,0
working,0,1,0,0,0,0
workspace,3,1,0,0,0,0
woven,1,0,0,0,0,1
written,1,0,0,0,0,0
yellow,12,20,26,22,21,23
yellowish,0,0,2,1,4,3
yellows,0,0,0,0,0,1
yet,2,1,1,1,0,2
young,8,0,0,0,0,0
zone,0,1,0,0,0,0
